"Año";"Periodo";"Agua embalsada"
"2009";"Semana 30";"27.496"
"2009";"Semana 31";"26.794"
"2009";"Semana 32";"26.168"
"2009";"Semana 33";"25.437"
"2009";"Semana 34";"24.717"
"2009";"Semana 35";"24.129"
"2009";"Semana 36";"23.637"
"2009";"Semana 37";"23.413"
"2009";"Semana 38";"23.191"
"2009";"Semana 39";"22.949"
"2009";"Semana 40";"22.782"
"2009";"Semana 41";"22.547"
"2009";"Semana 42";"22.611"
"2009";"Semana 43";"22.498"
"2009";"Semana 44";"22.547"
"2009";"Semana 45";"23.065"
"2009";"Semana 46";"23.354"
"2009";"Semana 47";"23.312"
"2009";"Semana 48";"23.899"
"2009";"Semana 49";"24.287"
"2009";"Semana 50";"24.213"
"2009";"Semana 51";"27.662"
"2009";"Semana 52";"31.945"
"2010";"Semana 1";"34.376"
"2010";"Semana 2";"36.644"
"2010";"Semana 3";"37.532"
"2010";"Semana 4";"37.736"
"2010";"Semana 5";"37.928"
"2010";"Semana 6";"38.369"
"2010";"Semana 7";"39.954"
"2010";"Semana 8";"42.711"
"2010";"Semana 9";"44.052"
"2010";"Semana 10";"44.364"
"2010";"Semana 11";"44.507"
"2010";"Semana 12";"45.140"
"2010";"Semana 13";"45.572"
"2010";"Semana 14";"45.569"
"2010";"Semana 15";"45.650"
"2010";"Semana 16";"45.978"
"2010";"Semana 17";"46.198"
"2010";"Semana 18";"46.458"
"2010";"Semana 19";"46.684"
"2010";"Semana 20";"46.650"
"2010";"Semana 21";"46.541"
"2010";"Semana 22";"46.114"
"2010";"Semana 23";"46.262"
"2010";"Semana 24";"46.395"
"2010";"Semana 25";"46.024"
"2010";"Semana 26";"45.416"
"2010";"Semana 27";"44.658"
"2010";"Semana 28";"43.843"
"2010";"Semana 29";"43.036"
"2010";"Semana 30";"42.164"
"2010";"Semana 31";"41.350"
"2010";"Semana 32";"40.549"
"2010";"Semana 33";"39.767"
"2010";"Semana 34";"38.991"
"2010";"Semana 35";"38.318"
"2010";"Semana 36";"37.643"
"2010";"Semana 37";"37.193"
"2010";"Semana 38";"36.783"
"2010";"Semana 39";"36.473"
"2010";"Semana 40";"36.383"
"2010";"Semana 41";"36.404"
"2010";"Semana 42";"36.141"
"2010";"Semana 43";"36.108"
"2010";"Semana 44";"36.136"
"2010";"Semana 45";"36.490"
"2010";"Semana 46";"36.998"
"2010";"Semana 47";"37.167"
"2010";"Semana 48";"38.194"
"2010";"Semana 49";"40.222"
"2010";"Semana 50";"40.187"
"2010";"Semana 51";"41.160"
