"","tz_time","month","year","spot_price","GP48_export","GP48_import","GP48_cogen","GP48_wind","GP48_coal","GP48_pumping_con","GP48_cogen_ng","GP48_biomass","GP48_thermosolar","GP48_PV","GP48_CC","GP48_pumping_tur","GP48_nuclear","GP48_hydro_noUGH","GP48_hydro_UGH","GP48_hydro_total","GP48_total","Demand_actual","Demand_scheduled","Demand_forecasted"
"3",2014-03-01,3,2014,26.6685060565276,-1595.1930013459,1369.90260492041,2211.47294751009,6565.40538358008,1475.80524899058,-1024.26579861111,2211.47294751009,470.188559892328,601.670694864048,1273.74116575592,1679.34239569314,504.034239130435,7115.51224764468,1010.8800807537,6143.95033647375,7154.83041722746,27206.7001345895,167866.414535666,167674.247644684,168153.730820996
"4",2014-04-01,4,2014,26.4429861111111,-1380.99375,633.023461538462,2022.72805555556,5428.16958333333,1609.31013888889,-1042.56577540107,2022.72805555556,470.513472222222,687.387028657617,1454.95817490494,1657.03013888889,579.8478515625,7031.52486111111,1036.37513888889,5902.33708333333,6938.71222222222,25566.0790277778,155635.059722222,155366.958333333,155752.243055556
"5",2014-05-01,5,2014,42.4073790322581,-1491.5502688172,1142.97085020243,2360.47607526882,5516.7123655914,4184.71290322581,-890.450909090909,2360.47607526882,552.299327956989,985.790835579515,1543.44114583333,1902.35510752688,485.614725274725,5846.51572580645,800.422311827957,3041.91115591398,3842.33346774194,25249.061155914,155961.572580645,155999.338709677,156096.880376344
"6",2014-06-01,6,2014,50.9507222222222,-1421.64638888889,1016.60694444444,2642.22527777778,4412.58208333333,6912.46875,-809.779028697572,2642.22527777778,579.244861111111,1003.36016830295,1465.67796327212,2482.05152777778,395.036960985626,4783.33958333333,718.414444444444,2719.73916666667,3438.15361111111,26365.61,162593.873611111,162694.383333333,162610.244444444
"7",2014-07-01,7,2014,48.2103360215054,-1627.28924731183,968.607661290323,2620.68077956989,4816.47674731183,7193.18629032258,-654.171291866029,2620.68077956989,569.122311827957,1161.67446236559,1537.87798013245,2526.46720430108,325.967721518987,5752.80309139785,596.920564516129,2544.1123655914,3141.03293010753,27679.9397849462,170253.97311828,170335.508064516,170443.654569892
"8",2014-08-01,8,2014,49.9107795698925,-1459.43346774194,1130.18575268817,2447.01841397849,3823.53051075269,6736.62244623656,-601.47602905569,2447.01841397849,593.080241935484,1155.56438172043,1553.61305903399,3038.26720430108,357.333076923077,5695.22594086021,534.139784946237,2265.46424731183,2799.60403225806,25609.501344086,163280.017473118,163276.290322581,163192.711021505
"9",2014-09-01,9,2014,58.8898333333333,-1625.62986111111,1144.45638888889,2691.09638888889,2872.29263888889,7897.18708333333,-728.073553719008,2691.09638888889,587.607083333333,619.928427128427,1313.46799242424,3773.96541666667,310.46064516129,6694.41138888889,492.563888888889,2041.15583333333,2533.71972222222,27734.4748611111,169304.547222222,169311.541666667,169579.886111111
"10",2014-10-01,10,2014,55.1137046979866,-1356.57986577181,938.809798657718,2698.53973154362,4760.34174496644,5882.01771812081,-990.38,2698.53973154362,517.329261744966,428.008579465542,1149.41086142322,2892.91369127517,479.444602851324,6901.39530201342,478.259060402685,1734.37208053691,2212.6311409396,26540.0652348993,159297.051006711,158867.444295302,159346.8
"11",2014-11-01,11,2014,46.7991805555556,-1203.32472222222,1495.40907801418,2499.76152777778,7257.07416666667,4342.72041666667,-1297.08983050847,2499.76152777778,519.654444444444,224.830308880309,815.87619047619,2670.64819444444,652.843273542601,6068.3025,727.315138888889,2687.60166666667,3414.91680555556,26602.3030555556,165314.409722222,164886.75,165374.893055556
"12",2014-12-01,12,2014,47.4718010752688,-1504.59919354839,1173.08044164038,2424.52016129032,6431.32715053763,5425.78279569892,-1243.48563968668,2424.52016129032,543.178494623656,305.115,1000.96088888889,2684.84112903226,614.207524752475,6316.28817204301,879.73185483871,3505.87970430108,4385.61155913978,27454.6439516129,172065.583333333,171731.935483871,172142.663978495
"13",2015-01-01,1,2015,51.596935483871,-1535.28293010753,1226.40139275766,2629.10725806452,6719.05739247312,6592.24677419355,-1225.95326876513,2629.10725806452,543.462634408602,342.609911504425,1062.04173728814,2999.9185483871,645.65011820331,7034.79489247312,703.197715053763,2772.63534946237,3475.83306451613,29530.4154569892,183137.423387097,182854.314516129,183179.157258065
"14",2015-02-01,2,2015,42.5679613095238,-1709.48660714286,1140.74757281553,2603.02098214286,8988.00639880952,4356.18973214286,-1365.77727272727,2603.02098214286,516.661011904762,326.792134831461,1017.22088607595,2528.85848214286,567.626363636364,7002.22767857143,888.790773809524,4446.74107142857,5335.5318452381,31250.4395833333,187958.78422619,187652.553571429,188203.738095238
"15",2015-03-01,3,2015,43.1298923283984,-1487.76164199192,1040.86160714286,2551.89865410498,6557.67092866756,3441.94360699865,-1070.71497890295,2551.89865410498,520.319111709287,657.035650887574,1285.55785582255,2160.83822341857,585.641717791411,6994.01413189771,912.931493943472,4289.41776581427,5202.34925975774,28061.5707940781,170863.275908479,170679.932705249,171002.006729475
